abbassamento	basso
abbattimento	battere
abbellimento	bello
abbigliamento	abbigliare
abbinamento	abbinare
abboccamento	bocca
abbonamento	abbonare
abbordabile	bordo
abbrutimento	bruto
abdicazione	abdicare
abiezione	abietto
abilitazione	abile
abitabile	abitare
abitatore	abitare
abitazione	abitare
abnegazione	negare
abolizione	abolire
abolizionista	abolire
abominevole	abominio
abortista	aborto
abrasione	abraso
abrogazione	abrogare
abusivismo	abuso
accademismo	accademia
accadimento	accadere
accampamento	campo
accanimento	accanire
accaparramento	caparra
accartocciamento	cartoccio
accecamento	cieco
acceleratore	accelerare
accelerazione	accelerare
accensione	accendere
accentramento	centro
accentratore	centro
accentuazione	accentuare
accerchiamento	cerchio
accertabile	certo
accertamento	certo
accessibile	accedere
accessione	accedere
accettabile	accettare
accettazione	accettare
acclamazione	acclamare
accodamento	coda
accoglimento	accogliere
accoltellamento	coltello
accoltellatore	coltello
accomodamento	comodo
accompagnamento	compagno
accompagnatore	compagno
acconsentimento	consentire
accoppiamento	coppia
accorgimento	accorgere
accorpamento	corpo
accortezza	accorto
accrescimento	crescere
accumulabile	cumulo
accumulatore	cumulo
accumulazione	cumulo
accuratezza	curare
accusatore	accusare
aclista	acl
acquafortista	acquaforte
acquisizione	acquisire
acquistabile	acquistare
acrobatismo	acrobata
acutezza	acuto
adagiamento	adagiare
adattabile	adattare
adattamento	adattare
adattatore	adattare
addebitabile	debito
addensamento	denso
addentabile	dente
addestramento	destro
addestratore	destro
addormentamento	dormire
adduttore	addut
adeguamento	adeguare
adeguatezza	adeguare
adempimento	adempiere
adescamento	adescare
adescatore	adescare
adesione	aderire
adoperabile	adoperare
adorabile	adorare
adoratore	adorare
adorazione	adorare
adottabile	adottare
adozione	adottare
adulatore	adulare
adulazione	adulare
adunatore	adunata
aeratore	aerare
aerazione	aerare
affarismo	affare
affarista	affare
affascinazione	fascino
affaticamento	fatica